omega,Q,Static Pressure,Total Pressure,StatEff,TotEff
2500,0.5,2690.228744,2791.278592,0.563322,0.584482
2500,0.75,2749.544356,2976.906512,0.724430,0.784334
2500,0.9,2403.955925,2731.35743,0.721768,0.820068
2500,1,1949.08932,2353.28871,0.622140,0.751159
2500,1.1,1388.345575,1877.426837,0.475215,0.642622
2500,1.25,611.5128932,1243.07444,0.238125,0.484057
2800,0.5,3329.787084,3430.836932,0.528924,0.544975
2800,0.75,3623.99989,3851.362047,0.702476,0.746548
2800,0.9,3321.020624,3648.42213,0.736459,0.809062
2800,1,3059.869677,3464.069067,0.729579,0.825954
2800,1.1,2563.909322,3052.990583,0.647838,0.771417
2800,1.25,1641.676764,2273.23831,0.456505,0.632125
3000,0.5,3733.80129,3828.005804,0.500021,0.512637
3000,0.75,4194.375187,4407.000294,0.677529,0.711875
3000,0.9,4148.307694,4454.257116,0.761562,0.817729
3000,1,3742.387027,4146.586463,0.761431,0.843670
3000,1.1,3377.203935,3832.300747,0.715090,0.811453
3000,1.25,2441.875686,3027.803532,0.561763,0.696559
